"","Date","Site.Name","AQS_PARAMETER_DESC","COUNTY","mean_AQI","mean_latitude","mean_longitude","Month","Year"
"162",2018-08-17,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"163",2018-08-18,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"164",2018-08-19,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"165",2018-08-20,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"166",2018-08-21,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"167",2018-08-22,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"168",2018-08-23,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"169",2018-08-24,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"170",2018-08-25,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"171",2018-08-26,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"172",2018-08-27,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"173",2018-08-28,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"174",2018-08-29,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"175",2018-08-30,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"176",2018-08-31,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"177",2018-09-01,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"178",2018-09-02,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"179",2018-09-03,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"180",2018-09-04,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"181",2018-09-05,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"182",2018-09-06,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"183",2018-09-07,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"184",2018-09-08,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"185",2018-09-09,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"186",2018-09-10,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"187",2018-09-11,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"188",2018-09-12,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"189",2018-09-13,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"190",2018-09-14,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"191",2018-09-15,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"192",2018-09-16,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"193",2018-09-17,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"194",2018-09-18,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"195",2018-09-19,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"196",2018-09-20,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"197",2018-09-21,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"198",2018-09-22,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"199",2018-09-23,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"200",2018-09-24,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"201",2018-09-25,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"202",2018-09-26,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"203",2018-09-27,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
"204",2018-09-28,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,9,2018
